                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.44499,                0.29516,                0.84882,                0.78636,                0.70867,                0.70439,                 0.5433,                 1.0201,                0.83246,                 1.1502,             0.00080058,             0.00080058,             0.00080058
                    107,                0.41254,                0.28005,                0.83631,                0.86633,                 0.7145,                0.74542,                0.59029,                0.93805,                0.72265,                 1.0742,             0.00079233,             0.00079233,             0.00079233
                    108,                0.41536,                0.28168,                0.84418,                0.83616,                0.71635,                0.74386,                0.57885,                 0.9627,                0.72477,                 1.0766,             0.00078407,             0.00078407,             0.00078407
                    109,                0.41701,                0.27263,                0.84347,                0.85996,                0.73558,                 0.7395,                0.57608,                0.96158,                0.66815,                 1.0989,             0.00077582,             0.00077582,             0.00077582
                    110,                0.41149,                0.27732,                0.83533,                0.85804,                0.74519,                0.73281,                0.56557,                0.99566,                0.66047,                 1.1349,             0.00076757,             0.00076757,             0.00076757
                    111,                0.42229,                0.27622,                0.84485,                0.83024,                0.76442,                0.74545,                 0.5831,                0.97139,                0.65171,                 1.1156,             0.00075932,             0.00075932,             0.00075932
                    112,                0.43033,                 0.2752,                0.83431,                0.83887,                0.76199,                0.74993,                0.59089,                0.98593,                0.67758,                 1.1259,             0.00075107,             0.00075107,             0.00075107
                    113,                0.40716,                0.26513,                 0.8388,                 0.8117,                 0.7571,                0.75487,                0.59433,                0.96675,                0.70103,                 1.0873,             0.00074282,             0.00074282,             0.00074282
                    114,                0.41627,                0.28045,                0.83495,                0.83225,                0.70743,                0.76293,                0.57442,                0.95841,                0.70125,                 1.0581,             0.00073456,             0.00073456,             0.00073456
                    115,                0.41402,                0.27397,                 0.8371,                0.77972,                0.75481,                0.74916,                0.58523,                0.95753,                0.68457,                 1.0798,             0.00072631,             0.00072631,             0.00072631
                    116,                 0.4163,                0.27101,                0.83795,                0.85032,                0.73558,                0.75309,                0.57688,                  0.998,                0.63934,                 1.1388,             0.00071806,             0.00071806,             0.00071806
                    117,                0.41974,                0.27473,                0.84703,                0.84775,                0.76442,                0.73023,                0.57465,                0.96024,                0.61583,                 1.1131,             0.00070981,             0.00070981,             0.00070981
                    118,                0.40628,                0.27391,                0.83083,                0.83236,                0.71394,                0.72682,                0.51279,                 1.0246,                0.68409,                 1.1484,             0.00070156,             0.00070156,             0.00070156
                    119,                0.38921,                0.25931,                0.83577,                 0.8227,                0.70433,                0.72439,                0.50644,                 1.0268,                0.70438,                 1.1628,             0.00069331,             0.00069331,             0.00069331
                    120,                0.39983,                0.25919,                0.83733,                0.81293,                0.74519,                0.73056,                0.55267,                0.96489,                0.73132,                 1.0874,             0.00068505,             0.00068505,             0.00068505
                    121,                0.38183,                0.25666,                0.84044,                0.79042,                0.74519,                0.75202,                0.57547,                0.96045,                0.71585,                 1.0742,              0.0006768,              0.0006768,              0.0006768
                    122,                 0.3846,                0.25983,                0.83559,                0.82848,                0.72596,                0.73317,                0.56038,                0.94005,                0.68715,                  1.061,             0.00066855,             0.00066855,             0.00066855
                    123,                0.39007,                0.25041,                0.82564,                 0.8233,                0.77718,                 0.7477,                0.57298,                0.96847,                0.56775,                 1.1148,              0.0006603,              0.0006603,              0.0006603
                    124,                0.38643,                0.25709,                0.83682,                0.85404,                0.73558,                0.74647,                0.58527,                0.93522,                0.59764,                 1.0815,             0.00065205,             0.00065205,             0.00065205
                    125,                0.38146,                0.25112,                0.83318,                0.79873,                 0.7739,                0.73779,                 0.5768,                 1.0223,                0.67318,                 1.1494,              0.0006438,              0.0006438,              0.0006438
                    126,                 0.3852,                0.25775,                0.83916,                0.84567,                0.75223,                0.73268,                0.55736,                 1.0672,                0.67389,                  1.157,             0.00063554,             0.00063554,             0.00063554
                    127,                0.37687,                0.25778,                0.82825,                0.85146,                0.71635,                0.71927,                0.55305,                 1.0621,                0.72189,                 1.1827,             0.00062729,             0.00062729,             0.00062729
                    128,                0.39017,                 0.2621,                0.84284,                0.79721,                0.75481,                0.72426,                0.54689,                 1.0724,                0.69246,                 1.2075,             0.00061904,             0.00061904,             0.00061904
                    129,                0.37912,                  0.249,                0.82597,                0.81205,                0.73301,                0.72371,                0.54649,                 1.0602,                0.75864,                 1.1936,             0.00061079,             0.00061079,             0.00061079
                    130,                 0.3887,                 0.2618,                0.83698,                0.78164,                0.73983,                0.71526,                0.53477,                 1.0577,                0.78148,                  1.187,             0.00060254,             0.00060254,             0.00060254
                    131,                0.38658,                0.25713,                0.84087,                0.78736,                0.73971,                0.72748,                0.54759,                 1.0396,                0.68452,                  1.183,             0.00059429,             0.00059429,             0.00059429
                    132,                0.38094,                0.25333,                0.83036,                0.80129,                0.73558,                0.73191,                0.56822,                0.98811,                0.62919,                 1.1599,             0.00058603,             0.00058603,             0.00058603
                    133,                0.38057,                0.24939,                0.83038,                0.80762,                0.77058,                0.75569,                0.58583,                0.96605,                0.57891,                 1.1405,             0.00057778,             0.00057778,             0.00057778
                    134,                0.37901,                0.24873,                0.83937,                0.83808,                0.74519,                0.76002,                0.57749,                0.97471,                0.64755,                  1.125,             0.00056953,             0.00056953,             0.00056953
                    135,                0.36811,                0.24105,                0.82759,                0.83014,                0.74519,                0.75076,                0.58151,                0.98874,                0.67538,                 1.1326,             0.00056128,             0.00056128,             0.00056128
                    136,                0.35151,                0.23597,                 0.8134,                0.82793,                0.73068,                0.74393,                0.58878,                0.96046,                0.70328,                 1.1024,             0.00055303,             0.00055303,             0.00055303
                    137,                0.35792,                0.24018,                0.82635,                0.79837,                0.74151,                0.74512,                0.59866,                0.96623,                0.64591,                 1.1219,             0.00054478,             0.00054478,             0.00054478
                    138,                0.36614,                0.24037,                0.82893,                 0.8269,                 0.7608,                0.75319,                0.60318,                0.96307,                0.57211,                 1.1402,             0.00053652,             0.00053652,             0.00053652
